Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
イトコン,@ItokonSukiyaki,2023-10-31T23:13:28.000Z,False,"Lapinさん
おはようございます(´ー｀)ﾉｼDBDまったくやってないなぁ",1,0,1,58,[],[],"['\\u2600\\ufe0f', '\\U0001f644']",https://pbs.twimg.com/profile_images/1922199109500600321/rokRXZbi_normal.jpg,https://x.com/ItokonSukiyaki/status/1719492817201074557,tweet_id:1719492817201074557
Roter Drache,@roterdrache611,2023-10-31T23:13:22.000Z,False,war wieder ein sehr schöner stream danke an alle die dabei waren. danke an   @RudiWachholz für die schöne ark collab und danke auch an   für die dbd collab und  und kitty fürs mitmachen.,2,0,4,114,[],"['@PatrickYuji4', '@muhkuhna', '@muhkuhna', '@SamaelQuade', '@DragoRex18']",['\\U0001f970'],https://pbs.twimg.com/profile_images/1881666339095425025/5Yyoju_l_normal.jpg,https://x.com/roterdrache611/status/1719492789002506496,tweet_id:1719492789002506496
Pally ~ Trapper Nerd,@PallyStream,2023-10-31T23:13:22.000Z,False,No different than when DBD is trending and #DeadbyDaylgiht is the trending hashtag.,0,0,1,14,['#DeadbyDaylgiht'],[],[],https://pbs.twimg.com/profile_images/1872151665945579520/w9jM2rvc_normal.jpg,https://x.com/PallyStream/status/1719492788977381760,tweet_id:1719492788977381760
R坊,@1923_rrr,2023-10-31T23:13:20.000Z,False,SDのDBDパロもっとくださいッッッッッッッッッッッッッッッッッッッッッッッッッッッッッッッッッッッッ,0,0,0,86,[],[],[],https://pbs.twimg.com/profile_images/1848343043344379904/OU-mDeld_normal.jpg,https://x.com/1923_rrr/status/1719492783617229264,tweet_id:1719492783617229264
べろにか,@hiyoko_game_,2023-10-31T23:13:19.000Z,False,立ちメメチャレンジないす〜全員弱音PT引くのさすがまみおかさん,1,0,1,71,[],[],"['\\U0001f973', '\\U0001f602']",https://pbs.twimg.com/profile_images/1540329486607978496/80HX3J-E_normal.jpg,https://x.com/hiyoko_game_/status/1719492778898645300,tweet_id:1719492778898645300
千代,@chiyo_banana,2023-10-31T23:13:15.000Z,False,":嫌なのはERとか…親が好きで見てたんだけど:痛みを連想させる系は嫌だったね:逆にスプラッターとか、のDBDとかテキサスチェーンソーとか…見てるけど、痛いって感じに見れない:Xファイルはオープニングが怖かった:あとエイリアンとかは怖い。気持ち悪い感じの容姿

ほほう",0,1,38,2K,[],[],"['\\U0001f576', '\\U0001f576', '\\U0001f576', '\\U0001f6a9', '\\U0001f576', '\\U0001f576']",https://pbs.twimg.com/profile_images/1872752079229599745/0OnAIf1O_normal.jpg,https://x.com/chiyo_banana/status/1719492759151858067,tweet_id:1719492759151858067
Mai,@MaiMai_dbd,2023-10-31T23:13:14.000Z,False,"色んな菌流行ってるもんねジャック・オー・ランタン的なの
作りたかった当日じゃ遅いんだね",0,0,0,68,[],[],"['\\U0001f623', '\\U0001f4a6', '\\U0001f979', '\\U0001f383', '\\U0001f97a', '\\U0001f97a']",https://pbs.twimg.com/profile_images/1438638718877798400/h72pdo4z_normal.jpg,https://x.com/MaiMai_dbd/status/1719492758141030881,tweet_id:1719492758141030881
オリ,@namua25301,2023-10-31T23:13:08.000Z,False,すずたろーさんお誕生日おめでとうございますハッピーな一日をお過ごしください,1,0,1,285,[],[],"['\\U0001f973', '\\U0001f388', '\\U0001f382', '\\U0001f970']",https://pbs.twimg.com/profile_images/1226432366073147393/dc1-Xqvh_normal.jpg,https://x.com/namua25301/status/1719492731389767971,tweet_id:1719492731389767971
おにく@DBD,おにく@DBD,2023-10-31T23:13:05.000Z,False,おしげちゃんのケーキポストみてウチも買いに行ったのꉂでもハロウィンケーキは完売だったパリパリの紗々チョコと生クリームの重なり合いでペロリだったわお近くにコージーコーナーあればぜひ,1,0,0,179,[],[],"['\\U0001f92d', '\\U0001f4a6', '\\U0001f60b', '\\U0001f493', '\\u2728']",https://pbs.twimg.com/profile_images/1921200965350256641/E8818Ms__normal.jpg,https://x.com/oniku_dbd/status/1719492718194524246,tweet_id:1719492718194524246
Cuteness,@cute_ness77,2023-10-31T23:13:01.000Z,False,Dbd players will be the death of me,1,0,1,47,[],[],[],https://pbs.twimg.com/profile_images/1659478748687654912/YzHPESGS_normal.jpg,https://x.com/cute_ness77/status/1719492703975543168,tweet_id:1719492703975543168
